EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
23.515,3.269,-18.040,2.421,4.722,-13.757,-13.328,15.416,-0.018,0.978,-0.046,0.214,1.038,0.244,100.000,103048.000,1.000
29.526,8.770,-13.656,5.199,8.003,-9.913,-13.263,16.060,-0.018,0.979,-0.045,0.214,1.007,0.214,100.000,103049.000,1.000
25.640,2.620,-19.482,-0.017,5.325,-16.194,-18.471,13.033,-0.018,0.979,-0.046,0.061,0.732,0.153,100.000,103050.000,1.000
21.314,-3.134,-25.683,-4.455,2.754,-21.713,-20.665,12.302,-0.017,0.978,-0.048,-0.061,0.610,0.183,100.000,103051.000,1.000
23.145,-0.499,-21.216,-3.169,2.236,-19.432,-19.270,12.009,-0.017,0.976,-0.049,-0.214,0.366,0.122,100.000,103052.000,1.000
26.076,4.289,-12.456,-2.264,0.736,-15.531,-19.887,7.167,-0.014,0.970,-0.051,-0.214,0.122,0.122,100.000,103053.000,1.000
26.875,6.998,-5.318,-2.500,0.683,-13.314,-20.023,3.935,-0.011,0.963,-0.053,-0.061,-0.122,0.092,100.000,103054.000,1.000
22.353,5.233,-4.627,-4.162,1.769,-15.169,-18.761,5.856,-0.009,0.961,-0.054,0.092,-0.153,0.275,100.000,103055.000,1.000
13.021,0.058,-8.536,-7.768,0.131,-21.078,-19.037,6.838,-0.006,0.957,-0.054,0.214,-0.244,0.458,100.000,103056.000,1.000
8.755,-1.405,-6.869,-8.061,-2.845,-23.505,-20.016,4.176,-0.005,0.954,-0.055,0.580,-0.153,0.549,100.000,103057.000,1.000
10.544,-0.161,-2.445,-5.748,-5.765,-21.348,-22.083,-0.512,-0.003,0.954,-0.058,0.824,-0.153,0.763,100.000,103058.000,1.000
13.271,2.025,1.688,-2.715,-6.010,-16.724,-22.135,-1.116,-0.005,0.954,-0.060,1.129,-0.122,0.885,100.000,103059.000,1.000
10.839,2.834,2.312,-3.197,-5.396,-15.498,-20.805,2.247,-0.004,0.958,-0.058,1.434,-0.092,0.977,100.000,103060.000,1.000
3.555,-0.672,-2.301,-8.930,-8.762,-21.283,-23.577,2.381,-0.005,0.962,-0.055,1.648,-0.061,1.007,100.000,103061.000,1.000
0.643,-4.690,-6.414,-13.301,-14.033,-27.522,-29.649,-1.248,-0.004,0.968,-0.056,1.678,-0.031,1.190,100.000,103062.000,1.000
2.861,-6.558,-9.045,-13.878,-16.827,-29.650,-34.580,-4.156,-0.008,0.971,-0.058,1.740,-0.122,1.373,100.000,103063.000,1.000
5.481,-5.233,-8.168,-10.394,-14.127,-26.929,-33.745,-1.720,-0.008,0.973,-0.058,1.678,-0.183,1.495,100.000,103064.000,1.000
2.291,-5.096,-9.376,-8.169,-10.133,-25.398,-30.787,2.630,-0.011,0.975,-0.055,1.556,-0.305,1.678,100.000,103065.000,1.000
-4.848,-8.003,-15.802,-10.566,-8.656,-26.288,-29.951,3.482,-0.012,0.976,-0.057,1.495,-0.427,1.709,100.000,103066.000,1.000
-5.354,-8.155,-18.175,-11.613,-6.472,-21.426,-28.782,2.590,-0.014,0.980,-0.054,1.282,-0.641,1.740,100.000,103067.000,1.000
-1.406,-6.689,-16.630,-10.471,-4.144,-12.728,-27.826,1.680,-0.018,0.983,-0.054,0.977,-0.671,1.831,100.000,103068.000,1.000
-0.064,-5.613,-14.196,-8.393,-3.040,-5.385,-25.531,3.874,-0.019,0.985,-0.052,0.641,-0.977,1.831,100.000,103069.000,1.000
-5.058,-6.731,-16.041,-9.214,-4.381,-2.602,-22.345,7.509,-0.018,0.986,-0.050,0.366,-1.251,1.801,100.000,103070.000,1.000
-12.767,-9.816,-21.250,-12.725,-6.976,-3.409,-21.519,7.035,-0.019,0.986,-0.054,-0.031,-1.404,1.801,100.000,103071.000,1.000
-14.489,-10.763,-20.407,-12.104,-6.313,-4.124,-22.911,3.304,-0.021,0.986,-0.054,-0.397,-1.740,1.678,100.000,103072.000,1.000
-13.834,-13.071,-17.247,-10.251,-4.218,-8.694,-27.390,-1.768,-0.019,0.984,-0.052,-0.824,-2.136,1.617,100.000,103073.000,1.000
-15.696,-17.287,-15.555,-10.041,-3.543,-15.795,-31.700,-4.885,-0.019,0.979,-0.052,-1.068,-2.533,1.495,100.000,103074.000,1.000
-19.302,-18.917,-15.432,-10.361,-5.376,-20.295,-32.938,-4.674,-0.018,0.976,-0.052,-1.282,-2.747,1.282,100.000,103075.000,1.000
-20.192,-15.396,-13.861,-8.962,-7.566,-20.215,-31.484,-2.655,-0.013,0.970,-0.053,-1.495,-2.808,1.160,100.000,103076.000,1.000
-15.351,-10.496,-9.987,-6.371,-8.519,-18.702,-30.794,-1.344,-0.010,0.965,-0.057,-1.526,-2.960,1.129,100.000,103077.000,1.000
-12.179,-12.857,-13.336,-9.702,-13.220,-24.366,-37.305,-5.906,-0.007,0.962,-0.056,-1.404,-3.113,0.916,100.000,103078.000,1.000
-11.566,-16.317,-17.255,-13.655,-18.112,-31.090,-44.178,-11.499,-0.005,0.959,-0.058,-1.312,-3.174,0.793,100.000,103079.000,1.000
-8.799,-11.829,-11.194,-9.165,-15.485,-28.205,-41.008,-8.596,-0.004,0.960,-0.061,-1.099,-3.113,0.763,100.000,103080.000,1.000
-1.933,-1.484,1.928,2.150,-6.788,-17.226,-29.586,2.486,-0.002,0.958,-0.061,-0.854,-3.113,0.854,100.000,103081.000,1.000
7.623,8.281,12.804,11.919,-0.179,-7.070,-20.388,11.404,-0.004,0.960,-0.057,-0.671,-3.143,0.824,100.000,103082.000,1.000
10.782,9.149,10.301,10.874,-3.297,-7.543,-22.926,7.630,-0.005,0.964,-0.059,-0.549,-2.991,0.916,100.000,103083.000,1.000
6.862,3.697,1.694,4.506,-10.962,-14.646,-30.554,-2.210,-0.008,0.967,-0.059,-0.305,-2.960,1.099,100.000,103084.000,1.000
1.698,-1.028,-2.431,0.312,-14.777,-20.588,-32.909,-6.947,-0.006,0.971,-0.060,-0.183,-2.930,1.129,100.000,103085.000,1.000
0.675,-0.458,0.721,-0.509,-11.959,-20.937,-27.955,-5.882,-0.011,0.976,-0.059,-0.122,-2.930,1.251,100.000,103086.000,1.000
7.316,8.039,10.284,3.488,-2.732,-12.277,-18.288,-1.734,-0.013,0.980,-0.053,-0.275,-3.082,1.282,100.000,103087.000,1.000
13.080,15.430,14.942,6.781,5.522,-2.213,-11.529,0.781,-0.016,0.981,-0.055,-0.458,-3.235,1.404,100.000,103088.000,1.000
12.211,14.227,13.530,6.084,7.364,2.007,-10.001,-0.314,-0.017,0.983,-0.056,-0.641,-3.296,1.404,100.000,103089.000,1.000
7.901,7.224,12.636,3.345,4.478,1.202,-10.516,-3.399,-0.017,0.985,-0.051,-0.885,-3.540,1.404,100.000,103090.000,1.000
6.596,3.482,16.564,3.635,2.874,3.192,-8.212,-4.264,-0.018,0.985,-0.048,-1.099,-3.815,1.465,100.000,103091.000,1.000
9.304,5.245,21.459,7.030,3.589,10.280,-3.392,-2.211,-0.015,0.984,-0.048,-1.434,-3.998,1.373,100.000,103092.000,1.000
6.680,1.931,15.186,3.782,-0.590,11.128,-4.288,-4.352,-0.014,0.979,-0.053,-1.678,-4.150,1.434,100.000,103093.000,1.000
1.588,-3.653,8.286,-1.406,-5.728,7.991,-6.943,-8.260,-0.011,0.976,-0.052,-1.892,-4.395,1.373,100.000,103094.000,1.000
1.138,-1.898,13.726,0.952,-4.169,10.944,-3.248,-7.003,-0.011,0.971,-0.051,-1.923,-4.456,1.465,100.000,103095.000,1.000
1.508,3.893,22.837,6.684,-0.340,17.091,2.857,-3.997,-0.008,0.969,-0.050,-1.953,-4.395,1.251,100.000,103096.000,1.000
-2.141,4.631,21.812,6.816,-2.002,17.015,3.064,-5.867,-0.002,0.966,-0.055,-1.892,-4.364,1.251,100.000,103097.000,1.000
-10.243,-2.847,7.584,-1.411,-9.125,7.769,-3.260,-11.037,0.002,0.964,-0.052,-1.801,-4.425,1.129,100.000,103098.000,1.000
-12.893,-5.676,0.613,-4.787,-10.930,3.180,-3.788,-7.970,0.006,0.963,-0.054,-1.709,-4.364,1.251,100.000,103099.000,1.000
-8.346,0.980,9.161,1.805,-5.906,8.712,3.088,1.894,0.007,0.961,-0.057,-1.648,-4.028,1.251,100.000,103100.000,1.000
-6.871,4.764,16.380,6.727,-4.282,12.771,4.700,4.001,0.008,0.963,-0.058,-1.465,-3.845,1.160,100.000,103101.000,1.000
-10.551,1.004,11.477,3.997,-8.380,9.545,-2.314,-3.252,0.009,0.963,-0.058,-1.312,-3.510,1.129,100.000,103102.000,1.000
-15.032,-3.345,-1.107,-1.894,-12.322,3.298,-9.463,-8.516,0.010,0.965,-0.055,-1.038,-3.204,1.282,100.000,103103.000,1.000
-12.708,1.527,-2.798,1.056,-9.226,4.852,-5.793,-2.274,0.010,0.969,-0.058,-0.946,-2.930,1.373,100.000,103104.000,1.000
-5.711,10.351,7.909,11.781,-3.101,12.576,4.067,7.639,0.008,0.973,-0.056,-0.793,-2.625,1.373,100.000,103105.000,1.000
-3.654,10.957,13.391,16.615,-2.974,14.394,6.476,7.528,0.004,0.975,-0.056,-0.702,-2.380,1.434,100.000,103106.000,1.000
-8.160,4.294,5.602,10.580,-8.127,8.143,-0.615,-1.022,0.002,0.976,-0.056,-0.702,-2.197,1.434,100.000,103107.000,1.000
-14.923,-2.760,-8.457,0.061,-12.360,1.359,-8.577,-7.636,0.000,0.980,-0.053,-0.763,-1.923,1.434,100.000,103108.000,1.000
-12.249,0.234,-6.239,0.867,-8.399,7.859,-4.207,-3.522,-0.003,0.980,-0.054,-0.793,-1.862,1.343,100.000,103109.000,1.000
-0.806,11.919,13.789,12.654,0.555,25.176,10.233,4.971,-0.005,0.981,-0.054,-0.885,-1.801,1.251,100.000,103110.000,1.000
2.625,16.257,26.531,16.861,3.986,34.725,18.634,3.592,-0.007,0.979,-0.051,-1.038,-1.801,0.977,100.000,103111.000,1.000
