EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.124,-10.514,-6.012,-0.084,-0.894,-4.390,-6.478,-5.565,0.033,0.992,0.063,-0.977,-0.031,-0.580,100.000,148089.000,1.000
0.313,-8.852,-5.047,0.417,0.019,-3.883,-6.916,-4.874,0.033,0.992,0.061,-0.946,-0.061,-0.610,100.000,148090.000,1.000
1.441,-5.440,-2.858,1.571,1.878,-0.966,-5.150,-3.226,0.033,0.994,0.060,-0.885,-0.122,-0.610,100.000,148091.000,1.000
2.635,-2.015,-0.629,2.626,3.743,2.895,-2.282,-1.565,0.034,0.994,0.058,-0.854,-0.183,-0.641,100.000,148092.000,1.000
2.921,-0.302,0.437,2.668,4.622,5.820,-0.063,-0.814,0.034,0.992,0.058,-0.946,-0.214,-0.580,100.000,148093.000,1.000
1.631,-1.193,-0.407,1.213,3.988,6.436,0.251,-1.265,0.034,0.991,0.059,-0.946,-0.275,-0.580,100.000,148094.000,1.000
-0.946,-3.986,-2.616,-1.212,2.699,4.755,-1.149,-2.315,0.032,0.991,0.060,-0.824,-0.336,-0.610,100.000,148095.000,1.000
-3.832,-7.167,-5.058,-3.487,1.925,1.941,-3.202,-3.321,0.033,0.990,0.059,-0.732,-0.336,-0.549,100.000,148096.000,1.000
-5.783,-9.271,-6.602,-4.636,2.377,-0.522,-4.846,-3.967,0.033,0.989,0.059,-0.671,-0.336,-0.580,100.000,148097.000,1.000
-6.046,-9.637,-6.703,-4.409,3.801,-1.731,-5.532,-4.107,0.034,0.990,0.058,-0.580,-0.366,-0.427,100.000,148098.000,1.000
-4.775,-8.569,-5.654,-3.197,5.128,-1.613,-5.155,-3.588,0.032,0.995,0.058,-0.671,-0.519,-0.488,100.000,148099.000,1.000
-2.561,-6.552,-3.756,-1.489,5.914,-0.389,-3.580,-2.126,0.035,0.997,0.059,-0.702,-0.488,-0.580,100.000,148100.000,1.000
-0.113,-3.989,-1.358,0.311,6.295,1.748,-0.793,0.351,0.038,1.000,0.061,-0.763,-0.458,-0.641,100.000,148101.000,1.000
2.204,-1.006,1.340,1.898,6.746,4.509,2.669,3.420,0.036,0.997,0.059,-0.885,-0.458,-0.458,100.000,148102.000,1.000
4.308,2.155,4.080,2.887,7.410,7.199,5.497,5.946,0.037,0.993,0.060,-0.854,-0.488,-0.427,100.000,148103.000,1.000
6.237,5.016,6.395,2.997,7.921,9.132,6.550,6.846,0.038,0.993,0.061,-0.793,-0.366,-0.397,100.000,148104.000,1.000
